"Skill","Source","Type"
"Python Skills","DataCamp","Programming Languages"
"R Skills","DataCamp","Programming Languages"
"Statistics and Math Skills","DataCamp","Technical"
"SQL Skills ","DataCamp","Programming Languages"
"NoSQL Skills","DataCamp","Programming Languages"
"Data Visualization Skills","DataCamp","Technical"
"Machine Learning and AI Skills ","DataCamp","Technical"
"Deep Learning Skills","DataCamp","Technical"
"Natural Language Processing Skills","DataCamp","Soft"
"Big Data Skills","DataCamp","Technical"
"Cloud Computing Skills","DataCamp","Technical"
"Business Acumen","DataCamp","Soft"
"Communication Skills","DataCamp","Soft"
"Data Ethics Skills","DataCamp","Soft"
"Environmental Awareness","DataCamp","Soft"
"Curiosity","TowardsDataScience","Soft"
"Communication","TowardsDataScience","Soft"
"Scientific Mindset","TowardsDataScience","Soft"
"Integrity","TowardsDataScience","Soft"
"Being value-centric","TowardsDataScience","Soft"
"Statistical Skills","Geek4Geek","Technical"
"Programming Languages","Geek4Geek","Programming Languages"
"Machine Learning","Geek4Geek","Technical"
"AutoML","Geek4Geek","Technical"
"Deep Learning","Geek4Geek","Technical"
"Cloud Services","Geek4Geek","Technical"
"SQL","Geek4Geek","Programming Languages"
"Data Intuition","Geek4Geek","Soft"
"Business Acumen","Geek4Geek","Soft"
"Communication Skills","Geek4Geek","Soft"
"Proficiency in Advanced Machine Learning Techniques","Linkedin","Technical"
"Mastery of Data Engineering and Big Data Technologies","Linkedin","Technical"
"Expertise in Cloud Computing and Distributed Systems","Linkedin","Technical"
"Advanced Statistical Analysis and Experimental Design","Linkedin","Technical"
"Proficiency in AI Ethics and Responsible AI Practices","Linkedin","Programming Languages"
"Effective Communication and Data Visualisation Skills","Linkedin","Soft"
"Continuous Learning and Adaptability","Linkedin","Soft"
"Critical thinking","Tableau","Soft"
"Effective communication","Tableau","Soft"
"Proactive problem solving","Tableau","Soft"
"Intellectual curiosity","Tableau","Soft"
"Business sense","Tableau","Soft"
"Ability to prepare data for effective analysis","Tableau","Technical"
"Ability to leverage self-service analytics platforms","Tableau","Soft"
"Ability to write efficient and maintainable code","Tableau","Technical"
"Ability to apply math and statistics appropriately","Tableau","Soft"
"Ability to leverage machine learning and artificial intelligence (AI)","Tableau","Technical"
"Programming","Coursera","Soft"
"Data wrangling and database management","Coursera","Technical"
"Machine learning and deep learning","Coursera","Technical"
"Data visualization","Coursera","Technical"
"Cloud computing","Coursera","Technical"
"Interpersonal skills","Coursera","Soft"
