"Skill","DataSource","Type"
"Proficiency in Advanced Machine Learning Techniques","Linkedin","Soft"
"Mastery of Data Engineering and Big Data Technologies","Linkedin","Soft"
"Expertise in Cloud Computing and Distributed Systems","Linkedin","Soft"
"Advanced Statistical Analysis and Experimental Design","Linkedin","Soft"
"Proficiency in AI Ethics and Responsible AI Practices","Linkedin","Soft"
"Effective Communication and Data Visualisation Skills","Linkedin","Technical"
"Continuous Learning and Adaptability","Linkedin","Technical"
"Critical thinking","Tableau","Soft"
"Effective communication","Tableau","Soft"
"Proactive problem solving","Tableau","Soft"
"Intellectual curiosity","Tableau","Soft"
"Business sense","Tableau","Soft"
"Ability to prepare data for effective analysis","Tableau","Technical"
"Ability to leverage self-service analytics platforms","Tableau","Technical"
"Ability to write efficient and maintainable code","Tableau","Technical"
"Ability to apply math and statistics appropriately","Tableau","Technical"
"Ability to leverage machine learning and artificial intelligence (AI)","Tableau","Technical"
"Programming","Coursera","Technical"
"Data wrangling and database management","Coursera","Technical"
"Machine learning and deep learning","Coursera","Technical"
"Data visualization","Coursera","Technical"
"Cloud computing","Coursera","Technical"
"Interpersonal skills","Coursera","Soft"
